cluster_id,size,pct_of_total,top_terms,top_ticket_type,top_ticket_subject,top_product,dominant_category_share,avg_satisfaction,representative_ticket_ids
-1,577,6.813083008619672,,Refund request,Battery life,Canon EOS,0.22010398613518198,2.9946236559139785,
0,162,1.9128586609989375,garmin forerunner; garmin; forerunner; the garmin; forerunner please; the; my garmin; issue; please; to,Technical issue,Software bug,Garmin Forerunner,0.2345679012345679,3.2264150943396226,543; 1058; 3801
29,135,1.5940488841657812,macbook pro; macbook; pro; the macbook; pro please; the; my macbook; please; issue; an,Billing inquiry,Product compatibility,MacBook Pro,0.22962962962962963,3.282051282051282,2632; 5337; 6150
30,67,0.7911205573267209,screen; the screen; flickering; hardware problem; is flickering; flickering and; screen is; it what; and unable; use it,Refund request,Product compatibility,Microsoft Office,0.26865671641791045,2.8421052631578947,3070; 5856; 4348
31,83,0.9800448695241468,to; networks; troubleshoot this; network; troubleshoot; connecting; canon; it; set; set up,Technical issue,Product recommendation,Canon EOS,0.3132530120481928,3.185185185185185,1384; 1161; 2018
32,323,3.8139095524855353,to; network; connecting; troubleshoot this; troubleshoot; networks; it; this; the; my,Product inquiry,Product compatibility,Sony Xperia,0.21981424148606812,2.8365384615384617,3589; 7536; 6240
33,142,1.676703270752155,bose quietcomfort; quietcomfort; bose; quietcomfort please; the bose; the; my bose; issue; please; with,Billing inquiry,Hardware issue,Bose QuietComfort,0.2605633802816901,2.8679245283018866,2659; 7280; 722
34,122,1.4405478805053726,soundlink; soundlink speaker; bose soundlink; speaker; bose; speaker please; the bose; the; my bose; issue,Cancellation request,Product compatibility,Bose SoundLink Speaker,0.22950819672131148,2.8857142857142857,5520; 1360; 2374
35,131,1.5468178061164246,dell xps; xps; dell; the dell; xps please; the; my dell; issue; please; with,Refund request,Refund request,Dell XPS,0.22900763358778625,2.763157894736842,1938; 487; 1722
36,156,1.8420120439249024,hp pavilion; pavilion; hp; the hp; pavilion please; the; my hp; issue; please; it,Refund request,Delivery problem,HP Pavilion,0.23076923076923078,3.16,7854; 1932; 4083
37,149,1.7593576573385288,dslr; dslr camera; canon dslr; camera; canon; the canon; camera please; the; my canon; issue,Refund request,Data loss,Canon DSLR Camera,0.2550335570469799,3.016949152542373,3984; 8044; 915
38,141,1.664895501239816,canon eos; eos; canon; eos please; the canon; the; my canon; issue; with; please,Product inquiry,Battery life,Canon EOS,0.23404255319148937,2.9038461538461537,7164; 692; 5492
39,141,1.664895501239816,sony xperia; xperia; sony; xperia please; the sony; the; my sony; issue; please; it,Refund request,Hardware issue,Sony Xperia,0.28368794326241137,2.574074074074074,5020; 3631; 3987
40,263,3.1054433817451885,playstation; playstation please; sony playstation; the; sony; the playstation; the sony; issue; please; an,Billing inquiry,Software bug,Sony PlayStation,0.22053231939163498,2.9555555555555557,2276; 544; 3368
41,128,1.5113944975794074,microsoft office; office; microsoft; office please; the microsoft; the; issue; please; my microsoft; with the,Billing inquiry,Product recommendation,Microsoft Office,0.2265625,3.1320754716981134,7991; 2127; 2465
42,138,1.6294721927027984,microsoft surface; surface; microsoft; surface please; the microsoft; the; issue; please; my microsoft; with,Product inquiry,Payment issue,Microsoft Surface,0.21739130434782608,3.127659574468085,5523; 263; 5519
43,84,0.991852639036486,bug in; bug; software bug; the; software; in the; updates or; or fixes; are there; fixes,Billing inquiry,Cancellation request,Nintendo Switch Pro Controller,0.25,2.730769230769231,5384; 254; 1713
44,126,1.487778958554729,pro controller; switch pro; switch; nintendo switch; nintendo; pro; controller; controller please; the nintendo; the,Cancellation request,Peripheral compatibility,Nintendo Switch Pro Controller,0.23809523809523808,3.032258064516129,1168; 2568; 718
45,108,1.2752391073326248,nintendo switch; nintendo; switch; switch please; the nintendo; the; my nintendo; issue; please; with,Technical issue,Refund request,Nintendo Switch,0.21296296296296297,2.9722222222222223,158; 1604; 7424
46,123,1.4523556500177117,xbox controller; microsoft xbox; xbox; controller; microsoft; controller please; the microsoft; the; issue; my microsoft,Cancellation request,Payment issue,Microsoft Xbox Controller,0.3089430894308943,2.775,5768; 3892; 12
47,112,1.3224701853819814,xbox; the xbox; xbox please; the; my xbox; issue; please; with; with the; please assist,Technical issue,Cancellation request,Xbox,0.24107142857142858,2.7222222222222223,830; 3228; 1165
